Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+MCDONALD_S_AUSTRALIA_LIMITED+2019,Walk Free+Australian MSA Registry Submission,MCDONALD'S AUSTRALIA LIMITED,2019,Yes,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+MCDONALD_S_AUSTRALIA_LIMITED+2021,Walk Free+Australian MSA Registry Submission,MCDONALD'S AUSTRALIA LIMITED,2021,Yes,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+MCDONALD_S_AUSTRALIA_LIMITED+2022,Walk Free+Australian MSA Registry Submission,MCDONALD'S AUSTRALIA LIMITED,2022,Yes,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+MCDONALD_S_AUSTRALIA_LIMITED+2019,Walk Free+Australian MSA statement assessed,MCDONALD'S AUSTRALIA LIMITED,2019,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+MCDONALD_S_AUSTRALIA_LIMITED+2021,Walk Free+Australian MSA statement assessed,MCDONALD'S AUSTRALIA LIMITED,2021,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+MCDONALD_S_AUSTRALIA_LIMITED+2022,Walk Free+Australian MSA statement assessed,MCDONALD'S AUSTRALIA LIMITED,2022,No,,,,,,
https://wikirate.org/Walk_Free+Company_size+MCDONALD_S_AUSTRALIA_LIMITED+2019,Walk Free+Company size,MCDONALD'S AUSTRALIA LIMITED,2019,Large,,,,,,
https://wikirate.org/Walk_Free+Company_size+MCDONALD_S_AUSTRALIA_LIMITED+2021,Walk Free+Company size,MCDONALD'S AUSTRALIA LIMITED,2021,Large,,,,,,
https://wikirate.org/Walk_Free+Company_size+MCDONALD_S_AUSTRALIA_LIMITED+2022,Walk Free+Company size,MCDONALD'S AUSTRALIA LIMITED,2022,Large,,,,,,
https://wikirate.org/Core+Country+MCDONALD_S_AUSTRALIA_LIMITED+2019,Core+Country,MCDONALD'S AUSTRALIA LIMITED,2019,Australia,,,,,,
https://wikirate.org/GreenDex+Country+MCDONALD_S_AUSTRALIA_LIMITED+2019,GreenDex+Country,MCDONALD'S AUSTRALIA LIMITED,2019,Australia,,,,,,
https://wikirate.org/GreenDex+Energy_Consumption+MCDONALD_S_AUSTRALIA_LIMITED+2014,GreenDex+Energy Consumption,MCDONALD'S AUSTRALIA LIMITED,2014,441124.0,,,,,,
https://wikirate.org/GreenDex+Energy_Consumption+MCDONALD_S_AUSTRALIA_LIMITED+2015,GreenDex+Energy Consumption,MCDONALD'S AUSTRALIA LIMITED,2015,402495,,,,,,
https://wikirate.org/GreenDex+Energy_Consumption+MCDONALD_S_AUSTRALIA_LIMITED+2016,GreenDex+Energy Consumption,MCDONALD'S AUSTRALIA LIMITED,2016,401512,,,,,,
https://wikirate.org/GreenDex+Energy_Consumption+MCDONALD_S_AUSTRALIA_LIMITED+2017,GreenDex+Energy Consumption,MCDONALD'S AUSTRALIA LIMITED,2017,378538,,,,,,
